"","Unnamed: 0","Unnamed: 0.1","steam_appid","categories","genres","header_image","short_description","name","developer","publisher","price","ccu","score","Tags","Steam Page"
"13","13","13","1569040","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Cloud']","Simulation","https://cdn.akamai.steamstatic.com/steam/apps/1569040/header.jpg?t=1649351903","The closest thing to real football management. FM22 brings new, progressive ways to find your winning edge, instill your footballing style and earn it on the pitch.","Football Manager 2022","Sports Interactive","SEGA","5499","65284","92","Football (Soccer), Sports, Management, Simulation, Football (American), Real Time Tactics, Strategy, Multiplayer, e sports, Character Customization, 2D, 3D, Singleplayer, Text Based","https://store.steampowered.com/app/1569040"
"14","14","14","1085660","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1085660/header.jpg?t=1657835870","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","Destiny 2","Bungie","Bungie","0","64496","83","Free to Play, Open World, FPS, MMORPG, Looter Shooter, Co op, PvP, PvE, Multiplayer, Shooter, Massively Multiplayer, First Person, Loot, Sci fi, Action, Lore Rich, Adventure, Space, Competitive, Atmospheric","https://store.steampowered.com/app/1085660"
"15","15","15","304930","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/304930/header.jpg?t=1642457764","You're a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.","Unturned","Smartly Dressed Games","Smartly Dressed Games","0","57173","91","Sandbox, Multiplayer, Funny, Blocks, boys, team","https://store.steampowered.com/app/304930"
"16","16","16","236390","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/236390/header.jpg?t=1657292099","War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","War Thunder","Gaijin Entertainment","Gaijin Distribution KFT","0","50647","81","Tanks, planes, war, fire, sky, clouds, fields, weapon, rackets","https://store.steampowered.com/app/236390"
"17","17","17","648800","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","Adventure","https://cdn.akamai.steamstatic.com/steam/apps/648800/header.jpg?t=1655744208","Raft throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!","Raft","Redbeet Interactive","Axolot Games","1999","49326","93","Survival, Open World Survival Craft, Multiplayer, Co op, Crafting, Open World, Building, Base Building, Online Co Op, Adventure, Sandbox, First Person, Singleplayer, Early Access, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer","https://store.steampowered.com/app/648800"
"18","18","18","413150","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","Indie","https://cdn.akamai.steamstatic.com/steam/apps/413150/header.jpg?t=1608624324","You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","Stardew Valley","ConcernedApe","ConcernedApe","1499","47895","89","Farming Sim, Life Sim, Pixel Graphics, Multiplayer, RPG, Relaxing, Agriculture, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Cute, Great Soundtrack, Dating Sim, Fishing","https://store.steampowered.com/app/413150"
"19","19","19","1245620","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1245620/header.jpg?t=1654259241","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","ELDEN RING","FromSoftware Inc.","FromSoftware Inc., Bandai Namco Entertainment","5999","47196","94","Souls like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co Op, Action, PvP, Co op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly","https://store.steampowered.com/app/1245620"
"20","20","20","381210","['Multijoueur', 'PvP', 'JcJ en ligne', 'Coopération', 'Coopération en ligne', 'Multijoueur multiplateforme', 'Succès Steam', 'Compat. contrôleurs complète', 'Cartes à échanger Steam', 'Steam Cloud', 'Remote Play sur téléphone', 'Remote Play sur tablette', 'Remote Play sur télévision']","Action","https://cdn.akamai.steamstatic.com/steam/apps/381210/header.jpg?t=1654817203","Dead by Daylight est un jeu d’action multi-joueurs (4 contre 1) qui vous plonge dans une ambiance de film d’horreur. Chaque joueur peut jouer le rôle d’un tueur sanguinaire pendant que les quatre autres tentent de lui échapper en évitant d’être attrapé et tué.","Dead by Daylight","Behaviour Interactive Inc.","Behaviour Interactive Inc.","1999","46117","82","Horror, Survival Horror, Multiplayer, Online Co Op, Co op, Survival, Gore, Team Based, Blood, Stealth, Third Person, Violent, First Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult","https://store.steampowered.com/app/381210"
"21","21","21","359550","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1655223333","Tom Clancy's Rainbow Six Siege is the latest installment of the acclaimed first-person shooter franchise developed by the renowned Ubisoft Montreal studio.","Tom Clancy's Rainbow Six Siege","Ubisoft Montreal","Ubisoft","1999","45580","87","FPS, PvP, eSports, Shooter, Multiplayer, Tactical, Competitive, Online Co Op, Action, Hero Shooter, Team Based, Military, War, Realistic, Destruction, Strategy, Co op, First Person, Difficult, 3D","https://store.steampowered.com/app/359550"
"22","22","22","221100","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled']","Action","https://cdn.akamai.steamstatic.com/steam/apps/221100/header.jpg?t=1658234476","How long can you survive a post-apocalyptic world? A land overrun with an infected &quot;zombie&quot; population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ – this is your story.","DayZ","Bohemia Interactive","Bohemia Interactive","4499","45397","71","Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post apocalyptic, Simulation, FPS, Early Access, First Person, Survival Horror, Sandbox, Adventure, Co op, Atmospheric, Indie","https://store.steampowered.com/app/221100"
"23","23","23","289070","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Turn Notifications', 'Remote Play on Tablet', 'Remote Play Together']","Strategy","https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1656624374","Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?","Sid Meier’s Civilization VI","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)","5999","45030","88","Strategy, Turn Based Strategy, Multiplayer, Historical, Singleplayer, Grand Strategy, Turn Based, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co Op, Co op, Hex Grid, Atmospheric","https://store.steampowered.com/app/289070"
"24","24","24","218620","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Action","https://cdn.akamai.steamstatic.com/steam/apps/218620/header.jpg?t=1657731026","PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","PAYDAY 2","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB","999","42744","79","Co op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co Op, Stealth, Crime, Shooter, Team Based, First Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation","https://store.steampowered.com/app/218620"
"25","25","25","394360","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']","Simulation","https://cdn.akamai.steamstatic.com/steam/apps/394360/header.jpg?t=1654610466","Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.","Hearts of Iron IV","Paradox Development Studio","Paradox Interactive","3999","41981","83","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co op, Competitive, Strategy RPG, Open World, Action","https://store.steampowered.com/app/394360"
"26","26","26","105600","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","Action","https://cdn.akamai.steamstatic.com/steam/apps/105600/header.jpg?t=1590092560","Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","Terraria","Re-Logic","Re-Logic","999","39609","83","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co op, Open World, Online Co Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric","https://store.steampowered.com/app/105600"
"27","27","27","4000","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet']","Indie","https://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1617307042","Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.","Garry's Mod","Facepunch Studios","Valve","999","39122","97","Sandbox, Multiplayer, Funny, Moddable, Building, Mod, Comedy, Co op, First Person, Physics, Simulation, Online Co Op, FPS, Singleplayer, Action, Animation & Modeling, Shooter, Indie, Massively Multiplayer, Adventure","https://store.steampowered.com/app/4000"
"28","28","28","438100","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support']","Adventure","https://cdn.akamai.steamstatic.com/steam/apps/438100/header.jpg?t=1648777811","Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.","VRChat","VRChat Inc.","VRChat Inc.","0","35517","90","VR, twitch, memes, anime, avatar, roblox, funny, party","https://store.steampowered.com/app/438100"
"29","29","29","1097150","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']","Action","https://cdn.akamai.steamstatic.com/steam/apps/1097150/header.jpg?t=1656022034","Fall Guys is a free, cross-platform, massively multiplayer, party royale game where you and your fellow contestants compete through escalating rounds of absurd obstacle course chaos until one lucky victor remains!","Fall Guys: Ultimate Knockout","Mediatonic","Xaxero Software","0","35204","80","Multiplayer, Party Game, Family Friendly, Battle Royale, Massively Multiplayer, Platformer, Cute, Funny, PvP, 3D Platformer, Controller, Casual, Colorful, Action, Online Co Op, Co op, Comedy, Physics, Indie, Difficult","https://store.steampowered.com/app/1097150"
"30","30","30","39210","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Remote Play on Tablet']","Massively Multiplayer","https://cdn.akamai.steamstatic.com/steam/apps/39210/header.jpg?t=1646695302","Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.","FINAL FANTASY XIV Online","Square Enix","Square Enix","1999","33856","83","MMORPG, RPG, Massively Multiplayer, Fantasy, Character Customization, JRPG, Great Soundtrack, Story Rich, Open World, Anime, Multiplayer, Adventure, Magic, Action, Co op, Atmospheric, Online Co Op, Action RPG, Female Protagonist, Singleplayer","https://store.steampowered.com/app/39210"
"31","31","31","252950","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","Action","https://cdn.akamai.steamstatic.com/steam/apps/252950/header.jpg?t=1655312496","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and...","Rocket League","Psyonix LLC","Psyonix LLC","0","33455","86","Football (Soccer), Multiplayer, Competitive, Sports, Racing, Football (American), Team Based, Online Co Op, Fast Paced, Co op, Action, Funny, Great Soundtrack, Local Multiplayer, Split Screen, Local Co Op, Singleplayer, 4 Player Local, Casual, Indie","https://store.steampowered.com/app/252950"
"32","32","32","227300","['Jednoosobowa', 'Wieloosobowa', 'Kooperacja', 'Sieciowa kooperacja', 'Osiągnięcia Steam', 'Karty kolekcjonerskie Steam', 'Warsztat Steam', 'Częściowa obsługa kontrolerów', 'Steam Cloud', 'Zawiera edytor poziomów', 'Remote Play na telefonie', 'Remote Play na tablecie', 'Remote Play Together']","Niezależne","https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1656428921","Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","Euro Truck Simulator 2","SCS Software","SCS Software","1999","33197","79","Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Exploration, Immersive Sim, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Adventure, Casual, Indie","https://store.steampowered.com/app/227300"
"33","33","33","489830","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']","RPG","https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796","Winner of more than 200 Game of the Year Awards, Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more.","The Elder Scrolls V: Skyrim Special Edition","Bethesda Game Studios","Bethesda Softworks","3999","32492","74","Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Dragons, Moddable, Story Rich, Magic, First Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator","https://store.steampowered.com/app/489830"
"34","34","34","1644960","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play Together']","Simulation","https://cdn.akamai.steamstatic.com/steam/apps/1644960/header.jpg?t=1656687987","NBA 2K22 puts the entire basketball universe in your hands. Anyone, anywhere can hoop in NBA 2K22.","NBA 2K22","Visual Concepts","2K","5999","31648","57","Sports, Basketball, Simulation, Realistic, Multiplayer, eSports, 3D, Singleplayer, Team Based, Character Customization, Management, Controller, Trading, Deckbuilding, 4 Player Local, Co op, Gambling, Local Co Op, Local Multiplayer, Online Co Op","https://store.steampowered.com/app/1644960"
"35","35","35","1248130","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","Simulation","https://cdn.akamai.steamstatic.com/steam/apps/1248130/header.jpg?t=1656710454","Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.","Farming Simulator 22","Giants Software","Giants Software","4999","31582","89","Simulation, Farming Sim, Co op, Agriculture, Moddable, Management, Multiplayer, Sandbox, 3D, First Person, Immersive Sim, Online Co Op, Economy, Character Customization, Family Friendly, Open World, Third Person, Nature, Horses, America","https://store.steampowered.com/app/1248130"
